SRC,FILENAME,SIGN
R1_TRAIN,000000.png,1_23
R1_TRAIN,000001.png,1_23
R1_TRAIN,000002.png,1_23
R1_TRAIN,000003.png,1_23
R1_TRAIN,000004.png,1_17
R1_TRAIN,000005.png,1_23
R1_TRAIN,000006.png,1_17
R1_TRAIN,000007.png,1_23
R1_TRAIN,000008.png,3_24_n40
R1_TRAIN,000009.png,1_17
R1_TRAIN,000010.png,1_23
R1_TRAIN,000011.png,3_24_n40
R1_TRAIN,000012.png,1_17
R1_TRAIN,000013.png,1_23
R1_TRAIN,000014.png,3_24_n20
R1_TRAIN,000015.png,3_24_n20
R1_TRAIN,000016.png,3_24_n20
R1_TRAIN,000017.png,4_2_1
R1_TRAIN,000018.png,4_2_1
R1_TRAIN,000019.png,1_20_3
R1_TRAIN,000020.png,1_25
R1_TRAIN,000021.png,1_20_3
R1_TRAIN,000022.png,1_25
R1_TRAIN,000023.png,3_4_n8
R1_TRAIN,000024.png,3_4_n8
R1_TRAIN,000025.png,3_4_n8
R1_TRAIN,000026.png,3_4_n8
R1_TRAIN,000027.png,3_4_n8
R1_TRAIN,000028.png,3_4_n8
R1_TRAIN,000029.png,3_4_n8
R1_TRAIN,000030.png,3_4_n8
R1_TRAIN,000031.png,3_4_1
R1_TRAIN,000032.png,3_4_1
R1_TRAIN,000033.png,4_1_6
R1_TRAIN,000034.png,4_1_6
R1_TRAIN,000035.png,4_1_6
R1_TRAIN,000036.png,4_1_6
R1_TRAIN,000037.png,4_1_6
R1_TRAIN,000038.png,4_1_6
R1_TRAIN,000039.png,4_1_6
R1_TRAIN,000040.png,4_1_6
R1_TRAIN,000041.png,4_1_6
R1_TRAIN,000042.png,4_1_6
R1_TRAIN,000043.png,4_1_6
R1_TRAIN,000044.png,4_1_6
R1_TRAIN,000045.png,4_1_6
R1_TRAIN,000046.png,4_1_6
R1_TRAIN,000047.png,4_1_6
R1_TRAIN,000048.png,4_1_6
R1_TRAIN,000049.png,4_1_6
R1_TRAIN,000050.png,4_1_6
R1_TRAIN,000051.png,4_1_6
R1_TRAIN,000052.png,4_1_6
R1_TRAIN,000053.png,4_1_6
R1_TRAIN,000054.png,4_1_6
R1_TRAIN,000055.png,4_1_6
R1_TRAIN,000056.png,4_2_3
R1_TRAIN,000057.png,4_1_1
R1_TRAIN,000058.png,1_33
R1_TRAIN,000059.png,4_2_3
R1_TRAIN,000060.png,4_1_1
R1_TRAIN,000061.png,3_27
R1_TRAIN,000062.png,4_2_3
R1_TRAIN,000063.png,3_27
R1_TRAIN,000064.png,4_2_3
R1_TRAIN,000065.png,3_27
R1_TRAIN,000066.png,1_15
R1_TRAIN,000067.png,1_15
R1_TRAIN,000068.png,1_15
R1_TRAIN,000069.png,4_2_3
R1_TRAIN,000070.png,4_2_3
R1_TRAIN,000071.png,4_1_2_1
R1_TRAIN,000072.png,4_1_2_1
R1_TRAIN,000073.png,3_27
R1_TRAIN,000074.png,3_27
R1_TRAIN,000075.png,3_4_1
R1_TRAIN,000076.png,3_27
R1_TRAIN,000077.png,3_4_1
R1_TRAIN,000078.png,3_27
R1_TRAIN,000079.png,4_2_3
R1_TRAIN,000080.png,3_27
R1_TRAIN,000081.png,4_2_1
R1_TRAIN,000082.png,4_2_1
R1_TRAIN,000083.png,4_1_2_1
R1_TRAIN,000084.png,4_1_2_1
R1_TRAIN,000085.png,4_1_2_1
R1_TRAIN,000086.png,4_2_3
R1_TRAIN,000087.png,4_2_3
R1_TRAIN,000088.png,4_2_3
R1_TRAIN,000089.png,4_2_3
R1_TRAIN,000090.png,4_2_3
R1_TRAIN,000091.png,4_2_3
R1_TRAIN,000092.png,4_2_3
R1_TRAIN,000093.png,4_2_3
R1_TRAIN,000094.png,4_2_3
R1_TRAIN,000095.png,3_27
R1_TRAIN,000096.png,3_27
R1_TRAIN,000097.png,3_27
R1_TRAIN,000098.png,3_27
R1_TRAIN,000099.png,3_27
R1_TRAIN,000100.png,3_27
R1_TRAIN,000101.png,3_27
R1_TRAIN,000102.png,3_27
R1_TRAIN,000103.png,3_27
R1_TRAIN,000104.png,3_27
R1_TRAIN,000105.png,3_27
R1_TRAIN,000106.png,3_27
R1_TRAIN,000107.png,3_27
R1_TRAIN,000108.png,3_27
R1_TRAIN,000109.png,3_27
R1_TRAIN,000110.png,3_27
R1_TRAIN,000111.png,3_27
R1_TRAIN,000112.png,3_27
R1_TRAIN,000113.png,3_27
R1_TRAIN,000114.png,3_27
R1_TRAIN,000115.png,3_27
R1_TRAIN,000116.png,3_27
R1_TRAIN,000117.png,3_27
R1_TRAIN,000118.png,3_27
R1_TRAIN,000119.png,3_27
R1_TRAIN,000120.png,1_19
R1_TRAIN,000121.png,1_19
R1_TRAIN,000122.png,1_19
R1_TRAIN,000123.png,1_19
R1_TRAIN,000124.png,1_19
R1_TRAIN,000125.png,1_19
R1_TRAIN,000126.png,1_19
R1_TRAIN,000127.png,1_19
R1_TRAIN,000128.png,1_19
R1_TRAIN,000129.png,1_19
R1_TRAIN,000130.png,1_19
R1_TRAIN,000131.png,1_19
R1_TRAIN,000132.png,1_19
R1_TRAIN,000133.png,1_19
R1_TRAIN,000134.png,1_19
R1_TRAIN,000135.png,1_19
R1_TRAIN,000136.png,1_19
R1_TRAIN,000137.png,1_19
R1_TRAIN,000138.png,1_19
R1_TRAIN,000139.png,1_19
R1_TRAIN,000140.png,1_19
R1_TRAIN,000141.png,1_19
R1_TRAIN,000142.png,1_19
R1_TRAIN,000143.png,1_19
R1_TRAIN,000144.png,1_19
R1_TRAIN,000145.png,1_19
R1_TRAIN,000146.png,1_19
R1_TRAIN,000147.png,1_19
R1_TRAIN,000148.png,1_19
R1_TRAIN,000149.png,3_27
R1_TRAIN,000150.png,3_27
R1_TRAIN,000151.png,3_27
R1_TRAIN,000152.png,3_27
R1_TRAIN,000153.png,3_27
R1_TRAIN,000154.png,3_27
R1_TRAIN,000155.png,3_27
R1_TRAIN,000156.png,1_15
R1_TRAIN,000157.png,1_15
R1_TRAIN,000158.png,1_16
R1_TRAIN,000159.png,1_16
R1_TRAIN,000160.png,1_11_1
R1_TRAIN,000161.png,1_11_1
R1_TRAIN,000162.png,1_19
R1_TRAIN,000163.png,1_19
R1_TRAIN,000164.png,3_27
R1_TRAIN,000165.png,3_27
R1_TRAIN,000166.png,3_27
R1_TRAIN,000167.png,4_2_1
R1_TRAIN,000168.png,4_2_1
R1_TRAIN,000169.png,4_2_1
R1_TRAIN,000170.png,3_18
R1_TRAIN,000171.png,3_27
R1_TRAIN,000172.png,3_27
R1_TRAIN,000173.png,4_2_3
R1_TRAIN,000174.png,4_2_3
R1_TRAIN,000175.png,4_2_1
R1_TRAIN,000176.png,4_2_1
R1_TRAIN,000177.png,4_2_1
R1_TRAIN,000178.png,4_2_1
R1_TRAIN,000179.png,4_2_1
R1_TRAIN,000180.png,4_2_1
R1_TRAIN,000181.png,4_1_1
R1_TRAIN,000182.png,4_1_2
R1_TRAIN,000183.png,3_27
R1_TRAIN,000184.png,1_23
R1_TRAIN,000185.png,1_23
R1_TRAIN,000186.png,1_23
R1_TRAIN,000187.png,1_23
R1_TRAIN,000188.png,1_23
R1_TRAIN,000189.png,1_16
R1_TRAIN,000190.png,1_16
R1_TRAIN,000191.png,4_1_2_1
R1_TRAIN,000192.png,4_1_2_1
R1_TRAIN,000193.png,4_1_2_1
R1_TRAIN,000194.png,3_27
R1_TRAIN,000195.png,4_2_1
R1_TRAIN,000196.png,4_2_1
R1_TRAIN,000197.png,4_2_1
R1_TRAIN,000198.png,4_2_1
R1_TRAIN,000199.png,4_2_1
R1_TRAIN,000200.png,4_2_1
R1_TRAIN,000201.png,4_2_1
R1_TRAIN,000202.png,4_2_1
R1_TRAIN,000203.png,3_27
R1_TRAIN,000204.png,4_2_3
R1_TRAIN,000205.png,3_4_1
R1_TRAIN,000206.png,1_16
R1_TRAIN,000207.png,3_24_n5
R1_TRAIN,000208.png,3_27
