filename,sign_class,is_present,set
000000.png,2_1,1,
000001.png,2_1,1,
000002.png,2_1,1,
000003.png,2_1,1,
000004.png,1_23,1,
000005.png,2_1,1,
000006.png,1_23,1,
000007.png,1_23,1,
000008.png,1_23,1,
000009.png,1_17,1,
000010.png,1_23,1,
000011.png,1_17,1,
000012.png,1_23,1,
000013.png,3_24_n40,1,
000014.png,1_17,1,
000015.png,1_23,1,
000016.png,3_24_n40,1,
000017.png,1_17,1,
000018.png,1_23,1,
000019.png,5_20,1,
000020.png,5_20,1,
000021.png,3_24_n20,1,
000022.png,5_20,1,
000023.png,3_24_n20,1,
000024.png,5_20,1,
000025.png,3_24_n20,1,
000026.png,5_20,1,
000027.png,5_19_1,1,
000028.png,5_16,1,
000029.png,5_19_1,1,
000030.png,5_19_1,1,
000031.png,5_16,1,
000032.png,5_19_1,1,
000033.png,5_19_1,1,
000034.png,5_19_1,1,
000035.png,5_19_1,1,
000036.png,5_19_1,1,
000037.png,5_19_1,1,
000038.png,5_16,1,
000039.png,5_16,1,
000040.png,5_16,1,
000041.png,5_20,1,
000042.png,5_16,1,
000043.png,5_20,1,
000044.png,5_20,1,
000045.png,5_20,1,
000046.png,5_20,1,
000047.png,5_20,1,
000048.png,5_20,1,
000049.png,5_19_1,1,
000050.png,5_19_1,1,
000051.png,5_19_1,1,
000052.png,5_19_1,1,
000053.png,5_16,1,
000054.png,5_19_1,1,
000055.png,5_16,1,
000056.png,5_19_1,1,
000057.png,5_19_1,1,
000058.png,5_16,1,
000059.png,5_19_1,1,
000060.png,5_19_1,1,
000061.png,5_16,1,
000062.png,5_19_1,1,
000063.png,5_19_1,1,
000064.png,5_16,1,
000065.png,5_19_1,1,
000066.png,5_16,1,
000067.png,5_19_1,1,
000068.png,5_16,1,
000069.png,5_16,1,
000070.png,5_16,1,
000071.png,5_16,1,
000072.png,5_16,1,
000073.png,5_16,1,
000074.png,5_16,1,
000075.png,5_16,1,
000076.png,5_16,1,
000077.png,2_1,1,
000078.png,2_1,1,
000079.png,2_2,1,
000080.png,2_2,1,
000081.png,5_19_1,1,
000082.png,5_19_1,1,
000083.png,5_19_1,1,
000084.png,5_19_1,1,
000085.png,2_2,1,
000086.png,2_2,1,
000087.png,2_2,1,
000088.png,2_2,1,
000089.png,5_19_1,1,
000090.png,2_2,1,
000091.png,5_19_1,1,
000092.png,5_19_1,1,
000093.png,5_19_1,1,
000094.png,5_19_1,1,
000095.png,4_2_1,1,
000096.png,4_2_1,1,
000097.png,2_1,1,
000098.png,5_19_1,1,
000099.png,2_1,1,
000100.png,5_19_1,1,
000101.png,2_1,1,
000102.png,5_19_1,1,
000103.png,2_1,1,
000104.png,5_19_1,1,
000105.png,5_19_1,1,
000106.png,2_1,1,
000107.png,5_19_1,1,
000108.png,5_19_1,1,
000109.png,2_1,1,
000110.png,5_19_1,1,
000111.png,2_1,1,
000112.png,5_16,1,
000113.png,5_16,1,
000114.png,5_19_1,1,
000115.png,5_19_1,1,
000116.png,5_19_1,1,
000117.png,5_19_1,1,
000118.png,5_19_1,1,
000119.png,5_19_1,1,
000120.png,5_16,1,
000121.png,5_16,1,
000122.png,5_16,1,
000123.png,1_20_3,1,
000124.png,1_25,1,
000125.png,1_20_3,1,
000126.png,1_25,1,
000127.png,5_16,1,
000128.png,5_19_1,1,
000129.png,5_19_1,1,
000130.png,5_16,1,
000131.png,5_19_1,1,
000132.png,5_19_1,1,
000133.png,5_19_1,1,
000134.png,5_19_1,1,
000135.png,5_19_1,1,
000136.png,5_19_1,1,
000137.png,5_16,1,
000138.png,2_1,1,
000139.png,5_16,1,
000140.png,2_1,1,
000141.png,3_4_n8,1,
000142.png,5_16,1,
000143.png,2_1,1,
000144.png,5_16,1,
000145.png,2_1,1,
000146.png,3_4_n8,1,
000147.png,5_16,1,
000148.png,2_1,1,
000149.png,3_4_n8,1,
000150.png,2_1,1,
000151.png,3_4_n8,1,
000152.png,2_1,1,
000153.png,3_4_n8,1,
000154.png,2_1,1,
000155.png,3_4_n8,1,
000156.png,2_1,1,
000157.png,3_4_n8,1,
000158.png,3_4_n8,1,
000159.png,3_4_1,1,
000160.png,5_19_1,1,
000161.png,3_4_1,1,
000162.png,5_19_1,1,
000163.png,4_1_6,1,
000164.png,4_1_6,1,
000165.png,4_1_6,1,
000166.png,4_1_6,1,
000167.png,4_1_6,1,
000168.png,4_1_6,1,
000169.png,4_1_6,1,
000170.png,4_1_6,1,
000171.png,4_1_6,1,
000172.png,4_1_6,1,
000173.png,4_1_6,1,
000174.png,4_1_6,1,
000175.png,4_1_6,1,
000176.png,4_1_6,1,
000177.png,4_1_6,1,
000178.png,4_1_6,1,
000179.png,4_1_6,1,
000180.png,4_1_6,1,
000181.png,4_1_6,1,
000182.png,4_1_6,1,
000183.png,4_1_6,1,
000184.png,4_1_6,1,
000185.png,4_1_6,1,
000186.png,4_2_3,1,
000187.png,4_1_1,1,
000188.png,1_33,1,
000189.png,4_2_3,1,
000190.png,5_15_5,1,
000191.png,2_1,1,
000192.png,5_15_5,1,
000193.png,2_1,1,
000194.png,2_1,1,
000195.png,4_1_1,1,
000196.png,2_1,1,
000197.png,2_1,1,
000198.png,2_1,1,
000199.png,2_1,1,
000200.png,2_1,1,
000201.png,2_1,1,
000202.png,3_27,1,
000203.png,4_2_3,1,
000204.png,3_27,1,
000205.png,4_2_3,1,
000206.png,3_27,1,
000207.png,1_15,1,
000208.png,1_15,1,
000209.png,1_15,1,
000210.png,4_2_3,1,
000211.png,4_2_3,1,
000212.png,2_2,1,
000213.png,4_1_2_1,1,
000214.png,2_2,1,
000215.png,4_1_2_1,1,
000216.png,5_16,1,
000217.png,3_27,1,
000218.png,3_27,1,
000219.png,6_3_1,1,
000220.png,6_3_1,1,
000221.png,6_3_1,1,
000222.png,2_1,1,
000223.png,2_1,1,
000224.png,2_1,1,
000225.png,3_4_1,1,
000226.png,3_27,1,
000227.png,3_4_1,1,
000228.png,3_27,1,
000229.png,4_2_3,1,
000230.png,3_27,1,
000231.png,4_2_1,1,
000232.png,4_2_1,1,
000233.png,4_1_2_1,1,
000234.png,4_1_2_1,1,
000235.png,5_15_5,1,
000236.png,4_1_2_1,1,
000237.png,5_15_5,1,
000238.png,5_15_5,1,
000239.png,6_7,1,
000240.png,6_7,1,
000241.png,6_7,1,
000242.png,5_16,1,
000243.png,5_16,1,
000244.png,5_16,1,
000245.png,5_16,1,
000246.png,5_16,1,
000247.png,5_16,1,
000248.png,5_16,1,
000249.png,5_16,1,
000250.png,5_15_3,1,
000251.png,5_16,1,
000252.png,5_15_3,1,
000253.png,5_16,1,
000254.png,5_16,1,
000255.png,5_15_3,1,
000256.png,5_15_3,1,
000257.png,5_15_3,1,
000258.png,5_15_3,1,
000259.png,7_3,1,
000260.png,7_3,1,
000261.png,7_3,1,
000262.png,7_3,1,
000263.png,7_3,1,
000264.png,7_3,1,
000265.png,7_3,1,
000266.png,7_3,1,
000267.png,7_3,1,
000268.png,4_2_3,1,
000269.png,4_2_3,1,
000270.png,4_2_3,1,
000271.png,4_2_3,1,
000272.png,4_2_3,1,
000273.png,4_2_3,1,
000274.png,4_2_3,1,
000275.png,4_2_3,1,
000276.png,4_2_3,1,
