filename,sign_class,is_present,set
000000.png,2_1,1,test
000001.png,2_1,1,test
000002.png,2_1,1,test
000003.png,2_1,1,valid
000004.png,1_23,0,
000005.png,2_1,1,test
000006.png,1_23,0,
000007.png,1_23,0,
000008.png,1_23,0,
000009.png,1_17,0,
000010.png,1_23,0,
000011.png,1_17,0,
000012.png,1_23,0,
000013.png,3_24_n40,1,train
000014.png,1_17,0,
000015.png,1_23,0,
000016.png,3_24_n40,1,valid
000017.png,1_17,0,
000018.png,1_23,0,
000019.png,5_20,1,valid
000020.png,5_20,1,train
000021.png,3_24_n20,1,train
000022.png,5_20,1,train
000023.png,3_24_n20,1,train
000024.png,5_20,1,train
000025.png,3_24_n20,1,train
000026.png,5_20,1,train
000027.png,5_19_1,1,test
000028.png,5_16,1,test
000029.png,5_19_1,1,test
000030.png,5_19_1,1,test
000031.png,5_16,1,test
000032.png,5_19_1,1,test
000033.png,5_19_1,1,test
000034.png,5_19_1,1,test
000035.png,5_19_1,1,train
000036.png,5_19_1,1,test
000037.png,5_19_1,1,test
000038.png,5_16,1,test
000039.png,5_16,1,test
000040.png,5_16,1,test
000041.png,5_20,1,test
000042.png,5_16,1,test
000043.png,5_20,1,test
000044.png,5_20,1,train
000045.png,5_20,1,test
000046.png,5_20,1,train
000047.png,5_20,1,train
000048.png,5_20,1,train
000049.png,5_19_1,1,train
000050.png,5_19_1,1,test
000051.png,5_19_1,1,test
000052.png,5_19_1,1,test
000053.png,5_16,1,test
000054.png,5_19_1,1,test
000055.png,5_16,1,train
000056.png,5_19_1,1,train
000057.png,5_19_1,1,test
000058.png,5_16,1,test
000059.png,5_19_1,1,test
000060.png,5_19_1,1,test
000061.png,5_16,1,test
000062.png,5_19_1,1,test
000063.png,5_19_1,1,test
000064.png,5_16,1,test
000065.png,5_19_1,1,test
000066.png,5_16,1,test
000067.png,5_19_1,1,test
000068.png,5_16,1,train
000069.png,5_16,1,train
000070.png,5_16,1,test
000071.png,5_16,1,test
000072.png,5_16,1,test
000073.png,5_16,1,test
000074.png,5_16,1,test
000075.png,5_16,1,train
000076.png,5_16,1,test
000077.png,2_1,1,test
000078.png,2_1,1,test
000079.png,2_2,1,train
000080.png,2_2,1,train
000081.png,5_19_1,1,test
000082.png,5_19_1,1,test
000083.png,5_19_1,1,test
000084.png,5_19_1,1,test
000085.png,2_2,1,valid
000086.png,2_2,1,test
000087.png,2_2,1,train
000088.png,2_2,1,valid
000089.png,5_19_1,1,test
000090.png,2_2,1,train
000091.png,5_19_1,1,test
000092.png,5_19_1,1,valid
000093.png,5_19_1,1,train
000094.png,5_19_1,1,test
000095.png,4_2_1,0,
000096.png,4_2_1,0,
000097.png,2_1,1,test
000098.png,5_19_1,1,test
000099.png,2_1,1,test
000100.png,5_19_1,1,test
000101.png,2_1,1,test
000102.png,5_19_1,1,test
000103.png,2_1,1,valid
000104.png,5_19_1,1,test
000105.png,5_19_1,1,test
000106.png,2_1,1,test
000107.png,5_19_1,1,test
000108.png,5_19_1,1,test
000109.png,2_1,1,test
000110.png,5_19_1,1,test
000111.png,2_1,1,valid
000112.png,5_16,1,test
000113.png,5_16,1,test
000114.png,5_19_1,1,test
000115.png,5_19_1,1,test
000116.png,5_19_1,1,test
000117.png,5_19_1,1,test
000118.png,5_19_1,1,test
000119.png,5_19_1,1,test
000120.png,5_16,1,test
000121.png,5_16,1,test
000122.png,5_16,1,test
000123.png,1_20_3,0,
000124.png,1_25,0,
000125.png,1_20_3,0,
000126.png,1_25,0,
000127.png,5_16,1,test
000128.png,5_19_1,1,test
000129.png,5_19_1,1,test
000130.png,5_16,1,test
000131.png,5_19_1,1,test
000132.png,5_19_1,1,test
000133.png,5_19_1,1,test
000134.png,5_19_1,1,test
000135.png,5_19_1,1,train
000136.png,5_19_1,1,test
000137.png,5_16,1,test
000138.png,2_1,1,valid
000139.png,5_16,1,train
000140.png,2_1,1,test
000141.png,3_4_n8,0,
000142.png,5_16,1,test
000143.png,2_1,1,test
000144.png,5_16,1,train
000145.png,2_1,1,test
000146.png,3_4_n8,0,
000147.png,5_16,1,test
000148.png,2_1,1,valid
000149.png,3_4_n8,0,
000150.png,2_1,1,valid
000151.png,3_4_n8,0,
000152.png,2_1,1,test
000153.png,3_4_n8,0,
000154.png,2_1,1,test
000155.png,3_4_n8,0,
000156.png,2_1,1,test
000157.png,3_4_n8,0,
000158.png,3_4_n8,0,
000159.png,3_4_1,0,
000160.png,5_19_1,1,test
000161.png,3_4_1,0,
000162.png,5_19_1,1,test
000163.png,4_1_6,0,
000164.png,4_1_6,0,
000165.png,4_1_6,0,
000166.png,4_1_6,0,
000167.png,4_1_6,0,
000168.png,4_1_6,0,
000169.png,4_1_6,0,
000170.png,4_1_6,0,
000171.png,4_1_6,0,
000172.png,4_1_6,0,
000173.png,4_1_6,0,
000174.png,4_1_6,0,
000175.png,4_1_6,0,
000176.png,4_1_6,0,
000177.png,4_1_6,0,
000178.png,4_1_6,0,
000179.png,4_1_6,0,
000180.png,4_1_6,0,
000181.png,4_1_6,0,
000182.png,4_1_6,0,
000183.png,4_1_6,0,
000184.png,4_1_6,0,
000185.png,4_1_6,0,
000186.png,4_2_3,0,
000187.png,4_1_1,1,train
000188.png,1_33,1,train
000189.png,4_2_3,0,
000190.png,5_15_5,0,
000191.png,2_1,1,test
000192.png,5_15_5,0,
000193.png,2_1,1,test
000194.png,2_1,1,test
000195.png,4_1_1,1,test
000196.png,2_1,1,test
000197.png,2_1,1,test
000198.png,2_1,1,test
000199.png,2_1,1,test
000200.png,2_1,1,test
000201.png,2_1,1,train
000202.png,3_27,1,valid
000203.png,4_2_3,0,
000204.png,3_27,1,test
000205.png,4_2_3,0,
000206.png,3_27,1,test
000207.png,1_15,0,
000208.png,1_15,0,
000209.png,1_15,0,
000210.png,4_2_3,0,
000211.png,4_2_3,0,
000212.png,2_2,1,valid
000213.png,4_1_2_1,0,
000214.png,2_2,1,test
000215.png,4_1_2_1,0,
000216.png,5_16,1,test
000217.png,3_27,1,valid
000218.png,3_27,1,valid
000219.png,6_3_1,0,
000220.png,6_3_1,0,
000221.png,6_3_1,0,
000222.png,2_1,1,test
000223.png,2_1,1,test
000224.png,2_1,1,test
000225.png,3_4_1,0,
000226.png,3_27,1,test
000227.png,3_4_1,0,
000228.png,3_27,1,train
000229.png,4_2_3,0,
000230.png,3_27,1,valid
000231.png,4_2_1,0,
000232.png,4_2_1,0,
000233.png,4_1_2_1,0,
000234.png,4_1_2_1,0,
000235.png,5_15_5,0,
000236.png,4_1_2_1,0,
000237.png,5_15_5,0,
000238.png,5_15_5,0,
000239.png,6_7,0,
000240.png,6_7,0,
000241.png,6_7,0,
000242.png,5_16,1,test
000243.png,5_16,1,train
000244.png,5_16,1,test
000245.png,5_16,1,test
000246.png,5_16,1,test
000247.png,5_16,1,valid
000248.png,5_16,1,test
000249.png,5_16,1,train
000250.png,5_15_3,0,
000251.png,5_16,1,test
000252.png,5_15_3,0,
000253.png,5_16,1,test
000254.png,5_16,1,test
000255.png,5_15_3,0,
000256.png,5_15_3,0,
000257.png,5_15_3,0,
000258.png,5_15_3,0,
000259.png,7_3,1,train
000260.png,7_3,1,train
000261.png,7_3,1,train
000262.png,7_3,1,test
000263.png,7_3,1,train
000264.png,7_3,1,train
000265.png,7_3,1,train
000266.png,7_3,1,train
000267.png,7_3,1,valid
000268.png,4_2_3,0,
000269.png,4_2_3,0,
000270.png,4_2_3,0,
000271.png,4_2_3,0,
000272.png,4_2_3,0,
000273.png,4_2_3,0,
000274.png,4_2_3,0,
000275.png,4_2_3,0,
000276.png,4_2_3,0,
000277.png,5_19_1,1,test
000278.png,5_19_1,1,test
000279.png,3_27,1,train
000280.png,3_27,1,test
000281.png,3_27,1,valid
000282.png,5_19_1,1,test
000283.png,3_27,1,test
000284.png,5_19_1,1,test
000285.png,3_27,1,test
000286.png,5_19_1,1,test
000287.png,3_27,1,train
000288.png,3_27,1,train
000289.png,3_27,1,test
000290.png,3_27,1,train
000291.png,3_27,1,train
000292.png,3_27,1,test
000293.png,3_27,1,train
000294.png,3_27,1,test
000295.png,3_27,1,train
000296.png,3_27,1,test
000297.png,3_27,1,train
000298.png,3_27,1,test
000299.png,3_27,1,test
000300.png,3_27,1,test
000301.png,3_27,1,test
000302.png,3_27,1,train
000303.png,3_27,1,test
000304.png,3_27,1,test
000305.png,3_27,1,test
000306.png,3_27,1,train
000307.png,5_15_5,0,
000308.png,5_15_5,0,
000309.png,5_15_5,0,
000310.png,5_15_5,0,
000311.png,5_15_5,0,
000312.png,1_19,0,
000313.png,5_15_5,0,
000314.png,1_19,0,
000315.png,5_15_5,0,
000316.png,1_19,0,
000317.png,1_19,0,
000318.png,1_19,0,
000319.png,1_19,0,
000320.png,1_19,0,
000321.png,1_19,0,
000322.png,1_19,0,
000323.png,1_19,0,
000324.png,1_19,0,
000325.png,1_19,0,
000326.png,1_19,0,
000327.png,1_19,0,
000328.png,1_19,0,
000329.png,1_19,0,
000330.png,1_19,0,
000331.png,1_19,0,
000332.png,1_19,0,
000333.png,1_19,0,
000334.png,1_19,0,
000335.png,1_19,0,
